game,search_method,total_time,total_num_of_examples,total_generate_time,total_num_of_generations,total_evaluate_time,total_num_of_evaluations,num_solved,accuracy,completion_tokens,prompt_tokens
game24,bfs,2339.917595386505,15,265.9389214515686,150,2073.6188480854034,1043,7,0.4666666666666667,3390651,2365702
game24,dfs,853.4873402118683,15,250.24958682060242,220,603.1372368335724,220,3,0.2,464447,3082108
sudoku,bfs,1841.0705032348633,15,475.4614336490631,255,1365.2963645458221,962,15,1.0,1145762,3901094
sudoku,dfs,991.8012232780457,15,214.64796137809753,119,777.1170201301575,119,13,0.8666666666666667,738745,2487801
